id;user_id;product_id;added_to_cart_date;priority;quantity_desired;last_modified
1;23992;20088;2024-01-18;11765;2449;2024-01-18
2;9661;7775;2024-01-18;16797;31268;2024-01-19
3;21943;32582;2024-01-19;20832;19684;2024-01-18
4;24647;27578;2024-01-18;9538;25214;2024-01-18
5;31887;6472;2024-01-18;18696;29919;2024-01-18
6;3670;23305;2024-01-18;23269;7438;2024-01-19
7;20783;7399;2024-01-18;7700;11;2024-01-18
8;13637;435;2024-01-19;11166;20783;2024-01-18
9;17711;15839;2024-01-19;32310;30108;2024-01-18
10;8940;18732;2024-01-18;32661;18147;2024-01-18
