id;order_id;user_id;payment_date;payment_method;transaction_amount;payment_status;billing_address
1;1921;5684;2024-01-19;31369;4155.22;nor beyond real;till concerning welcome
2;9777;29535;2024-01-18;23351;4118.77;mean appetite;squeaky honestly worn
3;20395;13398;2024-01-18;7006;3033.98;carburize uh-huh quietly;next offense boohoo
4;23217;22585;2024-01-18;14246;26005.66;now fooey boo;as ew
5;31128;10837;2024-01-19;13652;28791.95;chafe;so provided
6;15614;19512;2024-01-18;23491;25731.77;driveway truthful;trained romance
7;6547;17588;2024-01-18;4161;24415.24;who expansionism;cheerful
8;6413;12878;2024-01-18;27357;31704.15;out worth;instead
9;30226;2164;2024-01-18;1877;28108.76;but;geez traumatize
10;21930;31788;2024-01-18;1256;4560.11;ah;helplessly
